id,text,label1,label2,label3
1,"情人節 該 帶 女朋友 去 哪 慶祝 ？ ",1,0,0
118,"我們 從小 便 被 大 人們 教育 要 爭氣 、 要 出頭，但是 爭氣 出頭 的，不過 是 少數 人，沉默 的 大眾 畢竟 還是 多數 。 ",0,1,0
212,"謝謝 你 的 分享   照片 很 美 ",1,0,0
155,"最 喜歡 哪個 家人 ？ 為什麼 ？ ",1,0,0
374,"都 已經 過 了 一 年 了 ， 我 還 清楚 記得 她 當時 的 表情 有 多 高興 ， 一直 說 沒想到 自己 那麼 快要 生 了 ， 到 最後 那 媽媽 坐 在 輪椅 上 被 推回來 ， 沒有 哭 ， 異常 鎮定 ， 眼神 空洞 、 痛苦 。 ",0,0,1
53,"會不會 為了 和 朋友 而 去 了解 、 學習 自己 沒有 興趣 的 事物 ？ ",1,0,0
306,"其實 我 覺得 沒 事 回家 陪陪 家人 放慢 一下 生活 步調 也 不錯 啦 ， 爸爸 媽媽 真的 老 的 很 快 ",1,0,0
30,"在 你 所有 家人 當中，誰 的 死 對 你 的 打擊 會 最大 ？ ",0,0,1
210,"謝謝 已 收藏 ， 好 美 ",1,0,0
362,"既然 他 承認 一 開始 是 想 玩玩 ， 不 就 代表 他 是 那 種 會 玩 弄 人 的 渣男 嗎 ",1,0,0
88,"你 相信 世上 有 鬼 嗎 ？ ",1,0,0
258,"其實 我 也 一直 認為 塑膠 並 不 是 不 好 的 東西 ， 不 重複 使用 才 是 最 大 硬傷 ",0,1,0
357,"愛 與 不 愛 不只 是 嘴巴 說說 ， 是 行動 ",0,1,1
356,"如果 是 我 根本 完全 沒辦法 接受 ， 甚至 有 疙瘩 到 不 願 有 更 進一步 的 親密 關係 ",0,0,1
351,"戀愛 就是 如此 ， 熱戀 的 時候 鬼 遮眼 ， 等到 熱戀 期 過 段 時間 ， 妳 就 會 慢慢 發現 這 是 “ 本性 ” ",0,0,1
269,"全 班 三十 個 人 ， 女生 加 我 五 個 ， 結果 我 還可以 被 女生 衝康 欸 ， 我 覺得 男生 好 相處 多 了 ",0,1,0
147,"你 在 駕駛 的 時候 路 上 有 小 動物 來不及 剎車 了 ， 你 會 輾過去 還是 不顧 自己 安全 急轉 ？ ",0,1,0
344,"在 男朋友 面前 自信 爆棚 都 覺得 自己 最 正 ， 一般人 面前 就 蠻 自卑 的 ",0,0,1
115,"再 親密 的 人 也 是 另外 一個 人，是 和 我們 一樣 重要、一樣 獨立 的 人。",0,1,0
359,"另外 如果 真的 很 在意 、 很 難 接受 ， 也 不 建議 繼續 在一起 ， 不然 之後 再 相處 下去 也 會 有 疙瘩 的 ！ ",0,1,0
358,"想 知道 這 三 個 月 以來 ， 他 會不會 一直 想 跟 妳 發生 關係 ？ 如果 有 ， 建議 還是 分手 吧 ！ ",0,1,0
121,"雖是 同樣 的 情況，然而 不同 的 意念，就 會 產生 不同 的 態度 。 ",0,1,0
259,"我 想 長大 學會 的 就 只是 「 承受 」 ， 總是 有 一些 心靈 毒雞湯 會 說 「 要 感謝 那些 痛苦 的 過去 和 刁難 你 的 人 們 」 之類 的 話 。 其實 這 根本 瞎扯 ， 只 不過 是 倖存者 的 片面 之 詞 ， 要 感謝 的 人 就 只有 能 挺 過 那些 問題 的 自己 和 幫助 自己 的 人 。 ",0,1,0
74,"你 覺得 熱戀 中還 繼續 關注 其 他 女人 是 不 是 不 好 ？ ",0,1,0
144,"你 曾經 想過 要 自殺 嗎 ? ",0,0,1
315,"你 男友 很 自私 耶 ！ 感覺 就是 把 妳 當作 免錢 的 生活費 跟 雜支 來 源⋯ 他 自己 賺 的 存 起來 拿來 買房 ， 然後 吃 住 用 的 連 傢俱 都 不用 錢 ， 如果 他 感覺 很 愛 你 就 算了 ， 但 從 妳 敘述 感覺到 的 是 計較 和 現實 。 ",1,0,0
378,"曾經 我 也 想 過 要 結束 掉 自己 的 生命 ",0,0,1
8,"假如 你 能夠 活到 90 歲 ， 並且 你 可以 選擇 讓 你 的 心智 或 身體 在 後 60 年 一直 停留 在 30 歲，你 會 選擇 哪一個 ？ ",0,1,0
261,"貧窮 真的 不 是 問題 ， 教育 才 是 問題 。 ",0,1,0
190,"你 覺得 AI 會 取代 人類 嗎 ? ",0,1,0
350,"其實 ， 你 要 知道 的 是 ， 這 男 的 有 多 不 成熟 ， 戀愛 就是 如此 ",1,0,0
73,"誰該 對 孩子 進行 性啟蒙 ？ 當 孩子 多大時 呢 ？ ",0,1,0
288,"感覺 年紀 越 大 真的 懶得 管 跟 室友 感情 好不好 了 XD ",1,0,0
275,"我 一直 不 認為 結婚 就 要 雙方 家庭 所有人 都 滿意 喜歡 才 能 結 ， 難道 只要 一 個 人 不 喜歡 就 不 結婚 嗎 ？ ",0,1,0
370,"感覺 發生 關係 後   就 回 不 去 的 感覺 ， 在 還 沒 確定 關係 前  請 保護 自己 好 嗎 ， 珍惜 自己 一點 ",0,0,1
206,"你 會 幫 好朋友 過生日 嗎 ? ",1,0,0
342,"有 分手 才 會 成長 ， 只 是 一 個 過程 ， 接受 並 釋懷 ",0,1,0
69,"我 哪 一點 最 吸引 你 ？ ",1,0,0
60,"你 在 空閒 時間 做什麼 ？ ",1,0,0
32,"平常 閒著 的 時候 喜歡 做什麼 ？ ",1,0,0
292,"如果 用 說 的 說 不 出口 就 用 Line 打字 吧 ， 她們 也 會 比較 知道 妳 是 很 嚴肅 在 說 這 件 事 ",1,0,0
334,"再 來 ， 妳 是 他 女友 ， 為什麼 不能 管 他 ？ 為什麼 不能 說 介意 他 的 交友 或 生活 ？ 可以 認識 新 的 朋友 ， 但 如果 這些 朋友 裡面 有 什麼 讓 他 覺得 有 一 個 特別 存在 的 人 ， 是 不 是 會 有 問題 ？ ",1,0,0
142,"你 最 喜歡 哪個 AV 女優 ",1,0,0
327,"我 個人 最 大 的 雷區 就 只有 「 欺騙 、 不 給 面子 」 ， 其他 都 還好 ",0,0,1
231,"人 本來 就 有 性慾 啊   有的 人 沒有 伴侶 還是 會 想 接納 自己 的 慾望 ， 是 個人 選擇 ",0,1,0
294,"帶 別人 進來 房間 之前 我們 也 一定 會 先 回去 房間 問 大家 可不可以 讓 別寢 的 人 進來 ， 這 是 尊重 問題 ， 因為 大家 是 一起 生活 在 這 個 空間 裡 的 人 ",1,0,0
34,"最 喜歡 跟 男朋友 一起 做 甚麼 ？ ",1,0,0
201,"你 支持 廢除 死名 嗎 ? ",0,1,0
245,"那 我 覺得 他 有點 摳 ",0,1,0
267,"我 覺得 你 要 多 為 自己 爭取 權利 ",0,1,0
332,"妳 該 在意 的 是 他 不管 妳 的 感受 ， 就算 妳 跟 他 說 妳 不 想 管 他 了 ， 他 也 不 在乎 ， 這樣 妳 還 能 接受 嗎 ？ ",1,0,0
203,"你 大學 常 翹課 嗎 ? ",1,0,0
169,"對於 劈腿 的 看法 是 ？ ",0,1,0
338,"彼此 冷靜 一點 再 慢慢 提 ， 看 哪 一 種 做法 你們 都 能夠 接受 ， 在 其中 找到 那 個 平衡點 ",1,0,0
215,"啊 啊 啊 啊 啊 啊 梅子片 超讚 的 啊 我 等下 一定 要 去 買 一 個 來 吃 ",1,0,0
104,"婚姻 之所以 容易 成為 愛情 的 墳墓，一個 很 重要 的 原因 是，婚姻 只是 我們 過去 家庭 模式 的 複製 。 ",0,1,0
170,"會 如何 和 自己 有 興趣 的 異性 搭訕 ？ ",1,0,1
274,"從來 沒有 人生 完美 無缺 ， 只是 我們 都 需要 找到 懂 自己 的 人",0,1,0
130,"你 喜歡 爬山 嗎 ? ",1,0,0
97,"如果 你 撿到 一個 錢包，你 會 怎麼 做 ？ ",1,0,0
297,"雖然 我們 之間 規定 很多 ， 但 我們 感情 也 很 好 、 吵架 也 很 快 就 和 好了 ",1,0,0
390,"只 是 跟 你 不同 我 沒 遇到 其他 人 ， 也 不 想 再 遇到 其他 人 ， 也 沒 想要 繼續 下 一段 旅程 ， 直接 現在 我 還 在 做 惡夢 .. ",0,0,1
214,"包包 很 好看 ～～ ！ ",1,0,0
67,"朋友 送 了 一份 你 並不 喜歡 的 禮物 給 你，你 會 怎樣 做 ？ ",1,0,0
384,"任何 人 的 痛苦 都 不能 比較 ， 那些 沒 經歷 過 但 一直 叫 我們 比 爛 的 人 真的 很 過分 ， 我 也 對 著 我 媽 咆哮 過 為什麼 要 給 我 這 種 童年 ， 但 這 真的 要 自己 的 心態 調適 ， 無法 改變 就 是 無法 改變 ， 那 我們 就 自己 努力 。 當 我 踏上 美國 的 土地 之後 我 知道 我 還是 能 做到 小時候 想 都 不 敢 想 的 事情 ， 希望 覺得 很 痛苦 很 痛苦 的 大家 真的 就是 面對 ， 然後 讓 自己 更 強 。 ",0,0,1
365,"如果 他 追 妳 的 這 段 期間 ， 妳 覺得 並 沒有 感受到 他 的 非分 之 想 ， 也 沒有 接收到 他 一直 想 跟 妳 做 的 訊息 ， 那 我 覺得 就是 他 在 這 段 期間 真的 有所 改變 吧 ",0,0,1
188,"世界 末日 來 的 時候 ， 你 會 想 趕快 連絡 誰 ? ",0,1,0
280,"我 相信 分手 是 因為 我們 的 緣盡 ， 在 誰 也 不 知道 誰 是 對方 命 中 注定 的 那 位 之前 ， 都 不 想 任意 去 揣測 ， 或許 這 一 位 並 不 是 最後 會 走到 一起 的 人 。 ",0,1,0
